start_id,direction,step_index,relative_distance_m,frame_id,target_coverage,contour_span_over_target_bbox,contour_median_x_px,boundary_type,boundary_penetration_px,first_physical_termination,model_visible_termination,target_side_fraction,external_side_fraction
start_06,RIGHT,2,1.0,12091,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,3,1.5,12095,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,4,2.0,12099,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,5,2.5,12103,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,6,3.0,12107,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,7,3.5,12111,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_06,RIGHT,8,4.0,12115,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,LEFT,0,0.0,12119,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,LEFT,1,0.5,12123,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,LEFT,2,1.0,12127,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,LEFT,3,1.5,12131,0.8801432291666667,1.0,5.0,PHYSICAL_TERMINATION,5.0,True,False,1.0,1.0
start_07,LEFT,4,2.0,12135,0.8689322916666666,1.0,13.0,PHYSICAL_TERMINATION,13.0,True,False,1.0,1.0
start_07,LEFT,5,2.5,12139,0.8572005208333333,1.0,21.0,PHYSICAL_TERMINATION,21.0,True,True,1.0,1.0
start_07,LEFT,6,3.0,12143,0.8459798177083333,1.0,30.0,PHYSICAL_TERMINATION,30.0,True,True,1.0,1.0
start_07,LEFT,7,3.5,12147,0.8347819010416667,1.0,38.0,PHYSICAL_TERMINATION,38.0,True,True,1.0,1.0
start_07,LEFT,8,4.0,12151,0.8235677083333334,1.0,47.0,PHYSICAL_TERMINATION,47.0,True,True,1.0,1.0
start_07,RIGHT,0,0.0,12119,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,1,0.5,12155,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,2,1.0,12159,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,3,1.5,12163,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,4,2.0,12167,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,5,2.5,12171,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,6,3.0,12175,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,7,3.5,12179,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_07,RIGHT,8,4.0,12183,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,0,0.0,12187,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,1,0.5,12191,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
