baseline,start_id,actual_left_distance_m,actual_right_distance_m,actual_tie,predicted_choice,predicted_left_probability,predicted_right_probability,predicted_left_time_m,predicted_right_time_m,accuracy_credit,regret_m
B2,start_08,4.5,4.5,True,LEFT,0.4304944668604489,0.37864780185502367,1.3250292790153795,1.3239435914611004,,0.0
B2,start_09,4.5,4.5,True,LEFT,0.39260132133828196,0.33196676828829275,0.7975077802503232,0.7337092437568347,,0.0
B2,start_10,4.5,4.5,True,LEFT,0.25456594519275144,0.2081465590631603,0.7389010348240637,0.6648898399981347,,0.0
B2,start_11,4.5,4.5,True,LEFT,0.13365663872783307,0.0730220856778438,1.1414009253385748,1.0776023888450863,,0.0
B2,start_12,4.5,3.0,False,RIGHT,0.0,0.0,3.2635561924918775,3.1286520114470604,1.0,0.0
B2,start_13,4.5,4.5,True,LEFT,0.19671369474742811,0.15010177763145074,2.767789599759639,2.7062992930552197,,0.0
B2,start_14,4.5,4.5,True,LEFT,0.12130383368749115,0.07488444755789991,2.3692508436034134,2.2952396487774847,,0.0
B2,start_15,4.5,2.5,False,LEFT,0.49820878641475586,0.4463621214093305,2.171476429138357,2.170390741584078,0.0,2.0
B2,start_16,4.5,3.0,False,LEFT,0.47712742614415093,0.36566022399558873,3.192133115599059,3.0572289345542414,0.0,1.5
B2,start_17,4.5,3.0,False,LEFT,0.15734355289414287,0.09670899984415371,2.9349595338952383,2.8711609974017502,0.0,1.5
B2,start_18,4.5,4.0,False,LEFT,0.06880987930749863,0.0,2.5527638639276087,2.4178596828827916,0.0,0.5
B2,start_19,4.5,3.0,False,LEFT,0.3241614099137841,0.2775494927978067,3.1161449478478707,3.054654641143451,0.0,1.5
B3,start_00,2.5,4.5,False,RIGHT,1.0,1.0,2.9189349275630154,2.8754630536897032,0.0,2.0
B3,start_01,3.5,4.5,False,RIGHT,0.48112804268308695,0.5160782583847366,3.0142576009870217,3.043731239160754,0.0,1.0
B3,start_02,3.5,4.5,False,RIGHT,0.38755846204107136,0.40354126797681467,2.603990897469542,2.636302666418817,0.0,1.0
B3,start_03,4.5,4.5,True,RIGHT,0.42893738058019293,0.45854353457022673,2.6485498713327233,2.626669081052102,,0.0
B3,start_04,2.5,4.5,False,RIGHT,0.27392453683389334,0.2899073427696366,2.690799539127977,2.7231113080772524,0.0,2.0
B3,start_05,3.5,4.5,False,RIGHT,0.2788444601046961,0.31379467580634585,2.9587777810141755,2.9882514191879075,0.0,1.0
B3,start_06,3.0,4.5,False,RIGHT,0.23301688083660976,0.2626230348266437,3.4874562977537646,3.4655755074731447,0.0,1.5
B3,start_07,2.5,4.5,False,RIGHT,0.30505488235401734,0.31221878948745263,2.5900899257959016,2.5799298344398744,0.0,2.0
B3,start_08,4.5,4.5,True,RIGHT,0.4992060578132925,0.5341562735149422,1.4282803773295187,1.4577540155032513,,0.0
B3,start_09,4.5,4.5,True,RIGHT,0.589914980114348,0.597078887247783,1.2057951529745135,1.1956350616184865,,0.0
B3,start_10,4.5,4.5,True,RIGHT,0.299039986057248,0.32864614004728193,1.150617708551211,1.1287369182705902,,0.0
B3,start_11,4.5,4.5,True,RIGHT,0.22317989726029086,0.23034380439372598,1.4734166738983165,1.4632565825422899,,0.0
B3,start_12,4.5,3.0,False,RIGHT,0.0,0.0,3.1912110037121137,3.1477391298388016,1.0,0.0
B3,start_13,4.5,4.5,True,RIGHT,0.34359508015063334,0.35957788608637664,3.0336779788039863,3.065989747753262,,0.0
B3,start_14,4.5,4.5,True,RIGHT,0.15773675751556232,0.18734291150559618,2.690480342160525,2.668599551879904,,0.0
B3,start_15,4.5,2.5,False,RIGHT,0.475373583362778,0.5103237990644278,2.6984138022126585,2.7278874403863917,1.0,0.0
B3,start_16,4.5,3.0,False,LEFT,0.5698806493457391,0.49514266499476167,3.2069101375465383,3.1634382636732257,0.0,1.5
B3,start_17,4.5,3.0,False,RIGHT,0.29804140451282607,0.3052053116462613,3.3928143541659814,3.382654262809954,1.0,0.0
B3,start_18,4.5,4.0,False,LEFT,0.20354811589582175,0.1288101315448444,2.3345178211193724,2.29104594724606,0.0,0.5
B3,start_19,4.5,3.0,False,RIGHT,0.3134226078609098,0.3294054137966531,3.2959503401278294,3.3282621090771043,1.0,0.0
