frame_id,file_type,path,size_bytes,expected_sha256,actual_sha256,status
2546,depth_raw,results/act0r1/raw/left_05_straddle_repeat_2_depth.raw.bin,1228800,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,PASS
2546,depth_m,results/act0r1/raw/left_05_straddle_repeat_2_depth_m.npy,1228928,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,PASS
2546,semantic,results/act0r1/raw/left_05_straddle_repeat_2_semantic_raw.png,3230,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,PASS
2546,instance,results/act0r1/raw/left_05_straddle_repeat_2_instance_raw.png,3891,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,PASS
2546,metadata,results/act0r1/raw/left_05_straddle_repeat_2.json,3690,,40909825d82c0ed99cc059070dad135da9f8df9930f2674d6d1fd246d3dd1315,PASS
2550,rgb_bgra,results/act0r1/raw/left_06_straddle_repeat_3_rgb.bgra.bin,1228800,fcac6fec84db11d4c9b9400f5babf8a37e5741d93ebaa9620017199cc0539b4a,fcac6fec84db11d4c9b9400f5babf8a37e5741d93ebaa9620017199cc0539b4a,PASS
2550,rgb,results/act0r1/raw/left_06_straddle_repeat_3_rgb.png,572497,60729832c4e0d8e8e63595355bfe2ed4f93aca9d300a281ae24deb48751aaecd,60729832c4e0d8e8e63595355bfe2ed4f93aca9d300a281ae24deb48751aaecd,PASS
2550,depth_raw,results/act0r1/raw/left_06_straddle_repeat_3_depth.raw.bin,1228800,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,c6fe1cac87f54c18d53348941e214f8e77bbd047974ea92aa4d32b8ff9b32f4e,PASS
2550,depth_m,results/act0r1/raw/left_06_straddle_repeat_3_depth_m.npy,1228928,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,507992df9b41b6c88221d6d5da4156125128084ec40dca45e1b97ef9d79e4b90,PASS
2550,semantic,results/act0r1/raw/left_06_straddle_repeat_3_semantic_raw.png,3230,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,5e380c4fad9592a8899916cf5713176f6365b2cd18d559f7df6a66203d47293c,PASS
2550,instance,results/act0r1/raw/left_06_straddle_repeat_3_instance_raw.png,3891,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,f86d03e71a2d3bf6bfaed5273122918cc8a8abedd70254801e79833f8f795ab6,PASS
2550,metadata,results/act0r1/raw/left_06_straddle_repeat_3.json,3685,,60b71f65c5329abfea10ed818da3f9b77f7e0c7dc88c549e690b5988e9a0b1c5,PASS
2554,rgb_bgra,results/act0r1/raw/left_07_post_edge_rgb.bgra.bin,1228800,4b80ae3331ab6c0edf85fc26a01f55fa42d771e4c39f5560f7eb7c201720d0b4,4b80ae3331ab6c0edf85fc26a01f55fa42d771e4c39f5560f7eb7c201720d0b4,PASS
2554,rgb,results/act0r1/raw/left_07_post_edge_rgb.png,569092,a5d033fe01c8c8f05a95bdacb1ed8eeeea6076c4b79f842b9dfd8562d612bd5d,a5d033fe01c8c8f05a95bdacb1ed8eeeea6076c4b79f842b9dfd8562d612bd5d,PASS
2554,depth_raw,results/act0r1/raw/left_07_post_edge_depth.raw.bin,1228800,1ea397fce2f041b9fae7857d80810337482be2757123e2191fc586123ea87a69,1ea397fce2f041b9fae7857d80810337482be2757123e2191fc586123ea87a69,PASS
2554,depth_m,results/act0r1/raw/left_07_post_edge_depth_m.npy,1228928,5bae29244a05e13a6b961ff38d8a1e141b60b1a2baec1dbff67f9fc488cccf38,5bae29244a05e13a6b961ff38d8a1e141b60b1a2baec1dbff67f9fc488cccf38,PASS
2554,semantic,results/act0r1/raw/left_07_post_edge_semantic_raw.png,3271,25c6cee0fc46e9ad813ae5e3f9a6d6797671a31acecac8f66eebcf6e2bb6d3a8,25c6cee0fc46e9ad813ae5e3f9a6d6797671a31acecac8f66eebcf6e2bb6d3a8,PASS
2554,instance,results/act0r1/raw/left_07_post_edge_instance_raw.png,3904,add1d7f3caa2aa392f06861693f2f63682996014d0b53512c7a82a649c28ebd9,add1d7f3caa2aa392f06861693f2f63682996014d0b53512c7a82a649c28ebd9,PASS
2554,metadata,results/act0r1/raw/left_07_post_edge.json,3613,,4b7279e7dd9e5f366d48fd484a6aa48128dd1ce93b8e6b0b2cbcf328bdb95e14,PASS
