rank_key,left_index,right_index,left_trajectory,right_trajectory,left_step,right_step,remaining_distance_gap_m,cross_direction,raw_ssim,phase_aligned_ssim,phase_shift_px,hog_cosine,color_histogram_distance
0.894227918015009,0,3,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,0,3,1.5,False,0.06123946786181334,0.894227918015009,22.15322264506895,0.9382501941953175,0.016536254435777664
0.8942038040262185,6,9,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,6,9,1.5,False,0.057423099333859286,0.8942038040262185,22.067831278696243,0.9419982846939398,0.010979615151882172
0.891807961045917,11,15,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,1,5,2.0,False,0.2854758807424015,0.891807961045917,29.523506434265563,0.9356257777214898,0.01707560196518898
0.8902123032771189,3,6,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,3,6,1.5,False,0.05659192271417667,0.8902123032771189,22.064431382929744,0.9308041239270757,0.011987712234258652
0.888542908685043,13,17,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,3,7,2.0,False,0.2670266235277494,0.888542908685043,29.43155385118884,0.9552554490504073,0.015560301020741463
0.8883935866308419,6,8,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,6,8,1.0,False,0.14258810131373345,0.8883935866308419,14.670971145460568,0.953162280146759,0.008235270157456398
0.8837504558359054,1,16,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,1,6,2.5,True,0.07891992159305185,0.8837504558359054,51.73185008814738,0.9354721139665751,0.01415995229035616
0.880291457038895,4,10,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,4,0,2.0,True,0.2548324188844185,0.880291457038895,29.550872940950075,0.8893576910136295,0.026892496272921562
0.8779859696577135,0,14,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,0,4,2.0,True,0.26264363225851,0.8779859696577135,29.423394648778316,0.9188140780654992,0.013606363907456398
0.8775278889828748,5,11,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,5,1,2.0,True,0.30170202337996405,0.8775278889828748,44.34891138403294,0.9168229148671738,0.023964030668139458
0.8774900939260303,3,7,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,3,7,2.0,False,0.26394221062104584,0.8774900939260303,29.3796993471299,0.9204835160954594,0.016032511368393898
0.8767844980084623,0,16,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,0,6,3.0,True,0.26518834438299266,0.8767844980084623,44.092759610331065,0.9101291558542693,0.019350381568074226
0.8767168182190482,10,16,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,0,6,3.0,False,0.2654699408764339,0.8767168182190482,44.09647542282899,0.9103256127848612,0.02654174529016018
0.8755504341281343,10,14,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,0,4,2.0,False,0.26240964047699555,0.8755504341281343,29.422191020334424,0.9189484644152466,0.02107238583266735
0.8755483945259114,13,18,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,3,8,2.5,False,0.3453630771766608,0.8755483945259114,36.78089893195732,0.945053748545374,0.018588053062558174
0.8743481235425642,12,17,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,2,7,2.5,False,0.33906260822966483,0.8743481235425642,36.80158551645335,0.9367616856996466,0.01896870881319046
0.8725870330463645,3,12,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,3,2,0.5,True,0.3206559577287119,0.8725870330463645,36.99894711539634,0.9256036022073362,0.01141459122300148
0.8723937014552161,5,9,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,5,9,2.0,False,0.2533039920895639,0.8723937014552161,29.32132299428246,0.9022519686292342,0.015728352591395378
0.8695845072617839,2,7,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,2,7,2.5,False,0.27233685286002063,0.8695845072617839,36.795928466853894,0.9246286582542047,0.020432740449905396
0.8687432035311677,2,5,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,2,5,1.5,False,0.06451726470219876,0.8687432035311677,22.126287909940142,0.9350636002746147,0.012754924595355988
0.8646813010758878,5,8,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,5,8,1.5,False,0.06742125992363188,0.8646813010758878,22.055254655332863,0.9283909466998567,0.012634072452783585
0.8642537259456639,4,9,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,4,9,2.5,False,0.307246480141285,0.8642537259456639,36.758225362775086,0.9213237131744072,0.018858235329389572
0.8630312409044282,4,12,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,4,2,1.0,True,0.2861850640339838,0.8630312409044282,44.33616017732621,0.9280598153315751,0.015171305276453495
0.8614902125869368,3,13,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,3,3,0.0,True,0.2764284314635485,0.8614902125869368,44.426135513035845,0.9285186845486576,0.008089395239949226
0.8578185983343422,14,19,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,4,9,2.5,False,0.3125399646784317,0.8578185983343422,36.932391841190636,0.9307789318388728,0.01899414137005806
0.8553842613738715,5,10,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,5,0,2.5,True,0.2763287880980441,0.8553842613738715,36.922882899666476,0.9197579432632385,0.030582476407289505
0.8549343549995742,0,15,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,0,5,2.5,True,0.31289608454928125,0.8549343549995742,36.83963080961319,0.928463846311716,0.01670166105031967
0.8548101650470845,10,15,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,0,5,2.5,False,0.31257648134756694,0.8548101650470845,36.83860572854649,0.9286602487466266,0.0241292305290699
0.854577536414852,1,7,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,1,7,3.0,False,0.29293948333082753,0.854577536414852,44.28714119192746,0.9197528381617042,0.025443319231271744
0.8497579198524854,1,15,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,1,5,2.0,True,0.28195223042227713,0.8497579198524854,44.2679178643051,0.9215683068882199,0.010916747152805328
0.8480306044552445,1,14,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,1,4,1.5,True,0.31320845856191604,0.8480306044552445,36.98526809917238,0.9447260235676331,0.007127888035029173
0.8468466606806543,1,5,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,1,5,2.0,False,0.2667402429118017,0.8468466606806543,29.46277793741001,0.9058798211364941,0.017643433064222336
0.8455283669651588,12,18,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,2,8,3.0,False,0.2526827809643311,0.8455283669651588,44.21071760390746,0.9285357806108508,0.0222320556640625
0.8442541897027812,3,16,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,3,6,1.5,True,0.18086696660131066,0.8442541897027812,66.55312780923222,0.9261241448403337,0.005293983966112137
0.8442188355629041,2,6,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,2,6,2.0,False,0.2628758507534284,0.8442188355629041,29.399644269271892,0.9419736526460541,0.016557414084672928
0.8418540035093334,11,17,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,1,7,3.0,False,0.25617472918918816,0.8418540035093334,44.139997172993986,0.9423352859862503,0.02386169508099556
0.837280709874677,4,13,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,4,3,0.5,True,0.07133239682521876,0.837280709874677,51.7056178807051,0.9244096946072927,0.011339925229549408
0.8330807172949058,6,11,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,6,1,2.5,True,0.0738368397749404,0.8330807172949058,51.70423484742968,0.9488105718133732,0.02805135026574135
0.8316823549424815,2,15,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,2,5,1.5,True,0.07415007136015803,0.8316823549424815,51.79226417037231,0.9356870308671168,0.005740559659898281
0.8292517053089635,11,18,surface_sigma/MASK-1/10m/RIGHT,surface_sigma/MASK-1/10m/RIGHT,1,8,3.5,False,0.08573331986443371,0.8292517053089635,51.57709314706212,0.9386359011661967,0.027106527239084244
0.82853409111804,3,9,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,3,9,3.0,False,0.29720623114090916,0.82853409111804,44.1783459865351,0.9308519711247067,0.022297363728284836
0.827727659541813,2,14,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/RIGHT,2,4,1.0,True,0.28128100844710147,0.827727659541813,44.316219761996976,0.9295316346884193,0.003371582133695483
0.8214007258019731,4,8,surface_sigma/MASK-1/10m/LEFT,surface_sigma/MASK-1/10m/LEFT,4,8,2.0,False,0.24089535722854005,0.8214007258019731,29.304114136812938,0.9076203038220756,0.016059162095189095
